BPk,Bk,E0k,V0k,code,element,exchange,kpoints,sBPk,sBPk_err,sBk,sBk_err,sE0k,sE0k_err,sV0k,sV0k_err,structure
6.5227920616,82.562865516,-2.72195499982,18.0680866125,VASP,Ag,PBE,64.0,13.4336568831,6.52356373213,-5.93824964715,0.390197474014,1.31850797552,1.54505421329e-05,0.54455449198,0.00109013944204,bcc
7.91435330438,79.7893908647,-2.70699383635,18.0387675995,VASP,Ag,PBE,216.0,37.6333981986,7.91498930604,-9.09799802349,0.288813075934,0.761613111066,1.59538393039e-05,0.381401239179,0.00140719567934,bcc
3.66576495875,88.3606381935,-2.69210857256,18.0033917626,VASP,Ag,PBE,512.0,-36.2510531353,3.66713787865,0.667003729019,0.56966769216,0.207543437764,3.67223113672e-05,0.184543219157,0.00332847854281,bcc
3.92995034706,90.336548361,-2.68896044598,17.9858541699,VASP,Ag,PBE,1000.0,-31.6567759595,3.93123100549,2.91810739086,0.228228235082,0.0903616737123,1.5953684298e-05,0.0869507355356,0.00147828695195,bcc
4.07229069893,88.7868172454,-2.68814455222,17.9760505544,VASP,Ag,PBE,1728.0,-29.1814269859,4.07352660784,1.15253856769,0.395020956492,0.059991907012,2.82553295838e-05,0.0323959743698,0.00268323631829,bcc
5.10355186094,88.7251224615,-2.68768270026,17.9697673524,VASP,Ag,PBE,2744.0,-11.2474312821,5.10453808738,1.08225128625,0.25421079096,0.0428005310738,1.8515575573e-05,-0.00256853321033,0.00177227662116,bcc
5.34603687031,88.5030965579,-2.68723976303,17.9686355031,VASP,Ag,PBE,4096.0,-7.03053135775,5.34697837165,0.829302881587,0.169356240584,0.0263132127329,1.24163369405e-05,-0.00886700206259,0.00119609187729,bcc
5.57785416757,88.3529757525,-2.68695307444,17.9684719354,VASP,Ag,PBE,5832.0,-2.9991467131,5.5787565463,0.658274107002,0.105426031112,0.0156418898368,7.74643310161e-06,-0.00977721714986,0.000749688457587,bcc
5.6149253626,88.2062512383,-2.68685797534,17.9690281419,VASP,Ag,PBE,8000.0,-2.35446554328,5.61582178454,0.491114639525,0.0965514184917,0.0121020449747,7.09623845289e-06,-0.00668206155861,0.000687729715863,bcc
5.61336998515,88.1035853425,-2.68680374377,17.9693106384,VASP,Ag,PBE,10648.0,-2.38151410628,5.61426665544,0.374150023527,0.0879035285959,0.0100833996262,6.4616297471e-06,-0.00511003675756,0.00062688119677,bcc
5.62859673905,88.0267753938,-2.68673001899,17.9694033697,VASP,Ag,PBE,13824.0,-2.11671548001,5.62949098401,0.286642423479,0.0851074609348,0.00733916446009,6.25758465647e-06,-0.00459400901566,0.000607377862901,bcc
5.6680065283,87.9497895433,-2.68665861615,17.9696408619,VASP,Ag,PBE,17576.0,-1.43136533085,5.66889455653,0.198934422927,0.0827295267259,0.00468135788927,6.08241975904e-06,-0.00327242216008,0.000590501773071,bcc
5.6545003807,87.9155237334,-2.68663919529,17.9700441862,VASP,Ag,PBE,21952.0,-1.66624200617,5.65539052971,0.15989626655,0.0810487799102,0.00395846106318,5.9584708028e-06,-0.00102801971413,0.000578514186483,bcc
5.65631808106,87.8836532794,-2.68663105752,17.9701508789,VASP,Ag,PBE,27000.0,-1.63463155504,5.65720794406,0.123587077533,0.0799637898446,0.0036555512687,5.87850686111e-06,-0.00043430057,0.000570776327183,bcc
5.66926224137,87.8496488974,-2.68661135099,17.9700649884,VASP,Ag,PBE,32768.0,-1.40952803723,5.67015007294,0.0848467592782,0.0800894654978,0.00292202134079,5.88773268538e-06,-0.000912260573854,0.000571676725272,bcc
5.65910790099,87.8375013868,-2.68658541803,17.9702507883,VASP,Ag,PBE,39304.0,-1.58611560152,5.65999732538,0.0710074127042,0.0793353956704,0.0019567265018,5.83219862149e-06,0.000121671633566,0.000566294052084,bcc
5.65925687395,87.8182840087,-2.68657940607,17.9704046791,VASP,Ag,PBE,46656.0,-1.5835249091,5.66014627493,0.049113547874,0.0787075901921,0.00173294511351,5.78599331349e-06,0.000978036829787,0.000561815464497,bcc
5.66365711014,87.8053721025,-2.68657815555,17.9704226235,VASP,Ag,PBE,54872.0,-1.50700324833,5.66454582023,0.0344033450106,0.0789309022242,0.00168639730426,5.80242358776e-06,0.00107789289473,0.000563409210783,bcc
5.66655319186,87.7905546386,-2.68657205362,17.9703899121,VASP,Ag,PBE,64000.0,-1.45663936475,5.66744144781,0.017522189222,0.0788696018719,0.00145926721694,5.79791099091e-06,0.000895861675179,0.000562972077049,bcc
5.6564657985,87.7675779014,-2.68655937814,17.9704972365,VASP,Ag,PBE,74088.0,-1.63206269659,5.65735563827,-0.00865461678722,0.0788589054012,0.00098745158024,5.79711884117e-06,0.00149309642947,0.000562896082633,bcc
5.66074549498,87.7592246144,-2.68655597194,17.9705330629,VASP,Ag,PBE,85184.0,-1.55763726398,5.6616346621,-0.0181713019331,0.078888892008,0.000860663746478,5.79932725203e-06,0.00169246186151,0.000563111047182,bcc
5.65506268651,87.7563608888,-2.68655766782,17.9705813415,VASP,Ag,PBE,97336.0,-1.65646330957,5.65595274702,-0.0214338709208,0.0788415010891,0.000923788674135,5.79583977112e-06,0.00196112065892,0.000562772487165,bcc
5.66301142254,87.7516617917,-2.68655626965,17.9705430978,VASP,Ag,PBE,110592.0,-1.51823198368,5.66390023394,-0.0267874314811,0.078715865058,0.000871745000622,5.78659883473e-06,0.00174830367534,0.000561875505194,bcc
5.66167032317,87.7373746846,-2.68654974441,17.9705519627,VASP,Ag,PBE,125000.0,-1.54155417516,5.66255934507,-0.0430643653018,0.0789702457342,0.000628858027645,5.80542892525e-06,0.00179763457985,0.000563711456554,bcc
5.65618449792,87.7360321852,-2.68654841072,17.970645519,VASP,Ag,PBE,140608.0,-1.63695461304,5.65707438194,-0.0445938403217,0.0790131968079,0.000579214523547,5.80846838184e-06,0.00231825270676,0.000563999962176,bcc
5.66336971641,87.7329744103,-2.68654966894,17.9706520958,VASP,Ag,PBE,157464.0,-1.51200112674,5.66425847159,-0.0480774847521,0.078871891378,0.000626048951802,5.79816528764e-06,0.00235485106459,0.000563004494431,bcc
5.66195379662,87.7337804991,-2.68654948161,17.9706290033,VASP,Ag,PBE,175616.0,-1.5366244717,5.66284277403,-0.0471591284546,0.0790812436461,0.000619076018017,5.81363320405e-06,0.00222634687903,0.000564510943782,bcc
5.66656499051,87.735568464,-2.6865466751,17.9706008386,VASP,Ag,PBE,195112.0,-1.45643418196,5.66745324462,-0.0451221459694,0.0787950544092,0.000514610057227,5.79249474686e-06,0.00206961688115,0.000562452594796,bcc
5.65657624549,87.7286152784,-2.6865461347,17.9707424949,VASP,Ag,PBE,216000.0,-1.6301419846,5.65746606788,-0.0530437315854,0.0790696437796,0.000494494838904,5.81277473483e-06,0.00285790023951,0.000564427698451,bcc
5.66484662972,87.7309531804,-2.68654694235,17.9707125404,VASP,Ag,PBE,238328.0,-1.48631708286,5.66573515322,-0.0503802199566,0.0788918252706,0.000524557866876,5.79964355204e-06,0.00269121071602,0.000563148950479,bcc
5.6719234704,87.7321101022,-2.68654789135,17.9706714389,VASP,Ag,PBE,262144.0,-1.3632483248,5.67281088547,-0.0490621686904,0.0787352790835,0.000559882331069,5.78808026707e-06,0.00246249067407,0.000562022899032,bcc
