,bz_integration,calculations_type,code,element,exchange,extrapolate,extrapolate_err,k-point,pade_order,perc_precisions,precision,property,structure,value,UID
0,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,87.58233331115143,0.00055796370599366,262144.0,1.0,5.75875504558159,-5.75875504558159,B,bcc,82.5386812725574,0
1,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,-2.686544265281189,1.0941977485469801e-07,262144.0,1.0,1.3180937302685898,1.3180937302685898,E0,bcc,-2.7219554368027508,1
2,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,5.641240620855171,0.00108327919588696,262144.0,1.0,11.462885608054386,11.462885608054386,dB,bcc,6.287889580098896,2
3,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,17.9708412600542,1.54207369298719e-05,262144.0,1.0,0.5445690240980936,0.5445690240980936,v0,bcc,18.068704894926288,3
4,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,89.8278938504104,0.00442401049479978,2048.0,1.0,3.0412652831664406,-3.0412652831664406,B,hcp,87.09598930013826,4
5,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,89.8278938504104,0.00442401049479978,23328.0,1.0,3.5489111925631005,3.5489111925631005,B,hcp,93.01580602931128,5
6,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,-5.42744485352724,2.90353605075896e-06,2048.0,1.0,1.7205696953591865,-1.7205696953591865,E0,hcp,-5.334061882145119,6
7,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,-5.42744485352724,2.90353605075896e-06,23328.0,1.0,0.7590030543317666,0.7590030543317666,E0,hcp,-5.468639325737684,7
8,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,5.738957172482902,0.00294024106818427,2048.0,1.0,1.3152177556869769,1.3152177556869769,dB,hcp,5.814436956206667,8
9,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,5.738957172482902,0.00294024106818427,23328.0,1.0,6.753427066441227,-6.753427066441227,dB,hcp,5.351380885464971,9
10,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,35.7362047279808,8.051466596417241e-05,2048.0,1.0,1.043961440094096,1.043961440094096,v0,hcp,36.109276925494,10
11,TetraBloechl,allKp_without_spin,VASP,Ag,PBE,35.7362047279808,8.051466596417241e-05,23328.0,1.0,0.038314332807740784,-0.038314332807740784,v0,hcp,35.722512639568464,11
12,TetraBloechl,allKp_without_spin,VASP,Al,PBE,68.8719046119219,0.0037933296439985795,262144.0,1.0,24.66510689318851,24.66510689318851,B,bcc,85.85923350382728,12
13,TetraBloechl,allKp_without_spin,VASP,Al,PBE,163.881132607497,0.00128426894202378,262144.0,1.0,102.25940728914186,-102.25940728914186,E0,bcc,-3.7027422556620255,13
14,TetraBloechl,allKp_without_spin,VASP,Al,PBE,4.42610028614549,0.00141977242212525,262144.0,1.0,9.814286472217422,-9.814286472217422,dB,bcc,3.991710124515537,14
15,TetraBloechl,allKp_without_spin,VASP,Al,PBE,16.9136254251854,2.46952224804983e-05,262144.0,1.0,4.4941868033794,-4.4941868033794,v0,bcc,16.153495503353696,15
16,TetraBloechl,allKp_without_spin,VASP,Al,PBE,74.4482540716963,0.00531012409880394,32.0,1.0,39.585164137360906,39.585164137360906,B,hcp,103.91871764337677,16
17,TetraBloechl,allKp_without_spin,VASP,Al,PBE,74.4482540716963,0.00531012409880394,2048.0,1.0,15.167340926990605,-15.167340926990605,B,hcp,63.15643356244996,17
18,TetraBloechl,allKp_without_spin,VASP,Al,PBE,-7.427654372973079,4.62457838327175e-06,32.0,1.0,31.872574993948632,31.872574993948632,E0,hcp,-9.795039083290227,18
19,TetraBloechl,allKp_without_spin,VASP,Al,PBE,-7.427654372973079,4.62457838327175e-06,2048.0,1.0,2.1185933464497,-2.1185933464497,E0,hcp,-7.270292581629993,19
20,TetraBloechl,allKp_without_spin,VASP,Al,PBE,4.51339049563275,0.00551085588460722,32.0,1.0,9.525425538651717,-9.525425538651717,dB,hcp,4.083470844702669,20
21,TetraBloechl,allKp_without_spin,VASP,Al,PBE,4.51339049563275,0.00551085588460722,2048.0,1.0,8.181031869791202,-8.181031869791202,dB,hcp,4.144148580776909,21
22,TetraBloechl,allKp_without_spin,VASP,Al,PBE,33.2677051959087,9.9265655259077e-05,32.0,1.0,7.809513436999316,-7.809513436999316,v0,hcp,30.66965928845289,22
