code,element,energy,exchange,kpoints,structure,volume
VASP,Pt,-6.33779033,PBE,64.0,fcc,14.597987794063494
VASP,Pt,-6.3489089100000005,PBE,64.0,fcc,14.751650823474689
VASP,Pt,-6.35681404,PBE,64.0,fcc,14.905313852885875
VASP,Pt,-6.36165196,PBE,64.0,fcc,15.05897688229708
VASP,Pt,-6.36358659,PBE,64.0,fcc,15.212639911708267
VASP,Pt,-6.36279973,PBE,64.0,fcc,15.366302941119454
VASP,Pt,-6.35955389,PBE,64.0,fcc,15.519965970530652
VASP,Pt,-6.35402341,PBE,64.0,fcc,15.673628999941847
VASP,Pt,-6.34608738,PBE,64.0,fcc,15.827292029353044
VASP,Pt,-6.33618883,PBE,64.0,fcc,15.980955058764241
VASP,Pt,-6.32438919,PBE,64.0,fcc,16.13461808817544
VASP,Pt,-6.18709024,PBE,216.0,fcc,14.695941310060086
VASP,Pt,-6.20001925,PBE,216.0,fcc,14.850635429113344
VASP,Pt,-6.20966599,PBE,216.0,fcc,15.005329548166607
VASP,Pt,-6.2163651,PBE,216.0,fcc,15.160023667219875
VASP,Pt,-6.22020419,PBE,216.0,fcc,15.314717786273146
VASP,Pt,-6.2213671999999995,PBE,216.0,fcc,15.469411905326409
VASP,Pt,-6.22002123,PBE,216.0,fcc,15.624106024379667
VASP,Pt,-6.21635811,PBE,216.0,fcc,15.77880014343293
VASP,Pt,-6.21051872,PBE,216.0,fcc,15.933494262486198
VASP,Pt,-6.20251593,PBE,216.0,fcc,16.088188381539453
VASP,Pt,-6.19269132,PBE,216.0,fcc,16.24288250059272
VASP,Pt,-6.07482134,PBE,512.0,fcc,14.781562362598414
VASP,Pt,-6.08778834,PBE,512.0,fcc,14.937157755888924
VASP,Pt,-6.09751484,PBE,512.0,fcc,15.092753149179435
VASP,Pt,-6.10428682,PBE,512.0,fcc,15.248348542469952
VASP,Pt,-6.1081925,PBE,512.0,fcc,15.40394393576046
VASP,Pt,-6.10954206,PBE,512.0,fcc,15.559539329050974
VASP,Pt,-6.10837874,PBE,512.0,fcc,15.715134722341476
VASP,Pt,-6.10492002,PBE,512.0,fcc,15.870730115631984
VASP,Pt,-6.09929424,PBE,512.0,fcc,16.02632550892249
VASP,Pt,-6.09163532,PBE,512.0,fcc,16.181920902213015
VASP,Pt,-6.08208865,PBE,512.0,fcc,16.33751629550352
VASP,Pt,-6.0479453,PBE,1000.0,fcc,14.845187119932964
VASP,Pt,-6.06056868,PBE,1000.0,fcc,15.001452247511205
VASP,Pt,,PBE,1000.0,fcc,15.157717375089442
VASP,Pt,,PBE,1000.0,fcc,15.313982502667693
VASP,Pt,-6.08035186,PBE,1000.0,fcc,15.470247630245929
VASP,Pt,-6.08148857,PBE,1000.0,fcc,15.626512757824164
VASP,Pt,-6.08024105,PBE,1000.0,fcc,15.782777885402412
VASP,Pt,-6.07666937,PBE,1000.0,fcc,15.939043012980658
VASP,Pt,,PBE,1000.0,fcc,16.095308140558902
VASP,Pt,-6.06347473,PBE,1000.0,fcc,16.251573268137136
VASP,Pt,-6.05404845,PBE,1000.0,fcc,16.407838395715387
VASP,Pt,-6.06360991,PBE,1728.0,fcc,14.837972637325175
VASP,Pt,-6.07631309,PBE,1728.0,fcc,14.994161822981225
VASP,Pt,-6.08588523,PBE,1728.0,fcc,15.150351008637285
VASP,Pt,-6.09248484,PBE,1728.0,fcc,15.306540194293337
VASP,Pt,-6.09632352,PBE,1728.0,fcc,15.462729379949383
VASP,Pt,-6.09755126,PBE,1728.0,fcc,15.618918565605444
VASP,Pt,-6.09636439,PBE,1728.0,fcc,15.775107751261494
VASP,Pt,-6.09288802,PBE,1728.0,fcc,15.931296936917555
VASP,Pt,-6.08725932,PBE,1728.0,fcc,16.08748612257361
VASP,Pt,-6.07964827,PBE,1728.0,fcc,16.243675308229662
VASP,Pt,-6.07015459,PBE,1728.0,fcc,16.399864493885715
VASP,Pt,-6.06830224,PBE,2744.0,fcc,14.825281665142672
VASP,Pt,-6.08110088,PBE,2744.0,fcc,14.981337261617856
VASP,Pt,-6.09075017,PBE,2744.0,fcc,15.137392858093044
VASP,Pt,-6.09742414,PBE,2744.0,fcc,15.293448454568225
VASP,Pt,-6.10131466,PBE,2744.0,fcc,15.44950405104341
VASP,Pt,-6.10261663,PBE,2744.0,fcc,15.605559647518596
VASP,Pt,-6.10148053,PBE,2744.0,fcc,15.761615243993788
VASP,Pt,-6.09803312,PBE,2744.0,fcc,15.917670840468967
VASP,Pt,-6.09246536,PBE,2744.0,fcc,16.073726436944153
VASP,Pt,-6.08487916,PBE,2744.0,fcc,16.22978203341934
VASP,Pt,-6.07540632,PBE,2744.0,fcc,16.385837629894525
VASP,Pt,-6.06498696,PBE,4096.0,fcc,14.821635638958275
VASP,Pt,-6.07780921,PBE,4096.0,fcc,14.977652856210472
VASP,Pt,-6.08746878,PBE,4096.0,fcc,15.133670073462662
VASP,Pt,-6.09417364,PBE,4096.0,fcc,15.289687290714856
VASP,Pt,-6.09809815,PBE,4096.0,fcc,15.44570450796706
VASP,Pt,-6.09940881,PBE,4096.0,fcc,15.60172172521924
VASP,Pt,-6.09828834,PBE,4096.0,fcc,15.757738942471429
VASP,Pt,-6.09487592,PBE,4096.0,fcc,15.913756159723615
VASP,Pt,-6.08931845,PBE,4096.0,fcc,16.069773376975824
VASP,Pt,-6.081746599999999,PBE,4096.0,fcc,16.225790594228016
VASP,Pt,-6.07230101,PBE,4096.0,fcc,16.381807811480208
VASP,Pt,,PBE,5832.0,fcc,14.830190166698596
VASP,Pt,-6.07448373,PBE,5832.0,fcc,14.986297431611225
VASP,Pt,-6.08406232,PBE,5832.0,fcc,15.142404696523831
VASP,Pt,-6.09068974,PBE,5832.0,fcc,15.298511961436446
VASP,Pt,-6.09454153,PBE,5832.0,fcc,15.454619226349061
VASP,Pt,-6.09580172,PBE,5832.0,fcc,15.610726491261687
VASP,Pt,-6.09463504,PBE,5832.0,fcc,15.766833756174304
